7	178.121.219.157	0
8	37.228.243.94	171
9	46.56.223.158	2
10	213.87.242.103	0
11	178.121.196.102	45
12	37.215.50.237	2
13	178.121.79.89	0
14	178.121.78.141	1
15	46.216.226.133	188
16	80.94.228.228	188
17	82.145.223.138	3
18	89.3.97.184	7
19	46.216.144.44	188
20	178.121.66.67	163
21	37.212.4.71	1
22	188.239.7.240	0
23	46.216.64.2	201
24	46.216.66.225	0
25	46.56.232.164	2
26	37.214.46.244	13
27	134.17.26.180	168
28	37.212.1.99	1
29	178.127.176.239	0
30	46.53.246.39	0
31	178.120.12.246	0
32	46.56.200.193	188
33	175.158.49.51	13
34	37.215.16.204	171
35	178.121.71.86	0
36	46.53.245.116	286
37	178.127.103.106	0
38	37.215.106.74	2
39	95.10.1.55	0
40	46.56.235.29	4
41	86.57.162.115	0
42	37.172.222.69	2
43	178.168.180.136	4
44	46.216.65.161	52
45	185.66.252.168	5
46	46.56.245.123	0
47	145.255.160.111	0
48	91.207.181.241	0
49	178.168.197.142	5
50	46.56.115.6	1
51	84.201.226.46	2
52	46.53.248.97	2
53	178.168.168.201	2
54	46.56.233.59	0
55	185.177.0.3	13
56	173.19.78.67	0
57	37.215.57.219	0
58	37.214.176.116	0
59	188.162.228.94	4
60	46.216.66.62	0
61	37.214.54.63	0
62	46.216.140.85	0
63	37.45.70.221	0
64	185.139.136.182	0
65	37.214.40.134	2
66	109.126.4.170	0
67	46.216.224.188	2
68	46.56.114.243	4
69	46.56.204.34	1
70	95.47.229.212	13
71	178.122.135.130	1
72	172.58.12.170	14
73	93.171.161.200	4
74	178.120.158.30	4
75	37.215.43.171	0
76	46.56.216.29	52
77	178.121.39.157	2
78	37.215.32.163	171
79	46.56.244.136	13
80	93.66.246.140	52
81	37.212.211.86	0
82	37.212.81.25	173
83	46.53.249.153	0
84	178.122.70.218	238
85	46.56.221.255	171
86	46.53.254.138	5
87	178.120.33.148	170
88	178.120.41.45	6
89	103.7.248.214	79
90	176.60.0.96	0
91	178.120.5.116	4
92	37.214.73.231	52
93	37.214.46.135	201
94	46.56.232.171	0
95	37.214.39.197	0
96	46.56.237.234	293
97	46.216.145.20	36
98	37.214.27.134	6
99	93.125.12.213	163
100	46.56.232.72	189
101	178.168.158.66	0
102	37.212.40.223	188
103	46.216.128.145	305
104	178.123.86.64	52
105	37.214.73.30	270
106	178.121.83.85	15
107	37.215.10.140	4
108	37.215.33.169	3
109	46.53.243.21	2
110	46.216.65.172	0
111	46.56.233.174	0
112	178.121.80.107	0
113	37.212.116.95	31
114	178.120.71.196	3
115	46.53.243.111	0
116	93.191.100.213	189
117	5.100.193.250	133
118	37.212.116.47	3
